Guid,LastName,FirstName,Salutation,Title,Company,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Phone,Email,Website,Description,LeadSource,Status,Industry,Rating,AnnualRevenue,NumberOfEmployees,IsConverted,ConvertedDate,IsUnreadByOwner,Jigsaw,JigsawContactId,EmailBouncedReason,EmailBouncedDate,IsPriorityRecord
619fae2e-1ad4-4ea1-9d8f-87d5711ec152,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
6401b0a5-1a13-4735-ab3a-c0a4c7335a0f,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
66068f84-ceda-4ca9-b645-a11a06c80c53,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
700580f9-2616-4b6f-8177-2915536946ff,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
73202f14-a736-46a8-88d1-14461474a013,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
88a6bced-8411-42a6-8750-09b3b9921544,xyz,#N/A,Mr.,#N/A,rty,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,#N/A,#N/A,false
939700e0-5c8f-43b3-9cd9-f3675759c418,Gardner,John,Mr.,Exec VP,3C Systems,1 Boston Rd,Marlborough,Massachusetts,1752,United States,#N/A,#N/A,#N/A,(555) 555-1212,info@salesforce.com,#N/A,#N/A,Other,New,Aerospace & Defense,#N/A,16867.0,87200,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
9c953516-2a91-47b5-98ef-1804ef9b13e9,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
a19b7acb-3b5c-43f1-9c7d-eed1253fbb83,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
a68bc735-a1e6-4559-bd2f-232193a27a72,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,#N/A,#N/A,false
a6eec87f-d752-4aa9-944e-b67862f1af62,Loehr,Sarah,#N/A,System Administrator,"MedLife, Inc.",One Jones Avenue,New York,New York,10010,United States,#N/A,#N/A,#N/A,(555) 555-1212,info@salesforce.com,#N/A,#N/A,Employee Referral,Contacted,Insurance,#N/A,33147.0,48500,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
a9df0f20-97fd-46ba-9738-94ecac5db8ae,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
b080ca61-9cfa-442c-a7c0-2c7b18620763,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
ba1d9f44-8692-449b-9774-e3a08a98a258,Steele,Jim,#N/A,Senior VP,BigLife Inc.,11 Farm Avenue,Hartford,Connecticut,6156,United States,#N/A,#N/A,#N/A,(555) 555-1212,info@salesforce.com,#N/A,#N/A,Employee Referral,New,Insurance,#N/A,19879.0,28000,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
bbf8a9c1-6a0b-442a-8f77-16659ecccb38,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
c3a85372-faa6-49d0-be9e-685a7c393b7d,Smith,Andy,Mr.,Vice President,Universal Technologies,Universal Building,Hartford,Connecticut,6103,United States,#N/A,#N/A,#N/A,(555) 555-1212,info@salesforce.com,#N/A,#N/A,Advertisement,New,Aerospace & Defense,#N/A,28212.0,155000,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
cc6a4a20-b483-4b04-93b7-8f4d4a7b14a0,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
ce84569a-8620-40df-80d7-957ffaaee7e2,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
d39dc3bd-4a7a-4f7d-99e7-fc6bde486975,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
d51be27c-11a8-4ee9-8232-a7695fe189b3,Loehr,Sarah,#N/A,System Administrator,"MedLife, Inc.",One Jones Avenue,New York,New York,10010,United States,#N/A,#N/A,#N/A,(555) 555-1212,info@salesforce.com,#N/A,#N/A,Employee Referral,Contacted,Insurance,#N/A,33147.0,48500,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
db79a205-d150-4573-a8b2-a5b9241115f2,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
dca4b7cb-64c1-49ab-995a-a67352efb4a8,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
e3c01bd7-ddfa-40b6-a2af-eef83a106c5c,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
e912cebc-7cfd-4198-b06f-b86be3515046,Gardner,John,Mr.,Exec VP,3C Systems,1 Boston Rd,Marlborough,Massachusetts,1752,United States,#N/A,#N/A,#N/A,(555) 555-1212,info@salesforce.com,#N/A,#N/A,Other,New,Aerospace & Defense,#N/A,16867.0,87200,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
ec13977b-09a1-442b-b344-f142ef80779f,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
ee7c5458-85ff-4ab4-ba90-bccbceb4fcb1,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
f018dc9f-ec35-438f-8bf5-5f5dedd33765,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
f2990b46-f4a3-4965-b7b3-117cb23b4572,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,#N/A,#N/A,false
